SU,class,blank,technology,preservation,cortex.y.n,RAW
A1east,Blank,Blade,Optimal,Proximal,no,Blade prox
A1east,Blank,Blade,Optimal,Proximal,no,Blade prox
A1east,Blank,Blade,Optimal,Proximal,no,Blade prox
A1east,Blank,Blade,Optimal,Proximal,no,Blade prox
A1east,Blank,Blade,Optimal,Proximal,no,Blade prox
A1east,Blank,Blade,Optimal,Proximal,no,Blade prox
A1east,Blank,Blade,Optimal,Proximal,no,Blade prox
A1east,Blank,Blade,Optimal,Proximal,no,Blade prox
A1east,Blank,Blade,Optimal,Proximal,no,Blade prox
A1east,Blank,Blade,Optimal,Proximal,no,Blade prox
A1east,Blank,Blade,Optimal,Proximal,no,Blade prox
A1east,Blank,Blade,Optimal,Proximal,no,Blade prox
A1east,Blank,Blade,Optimal,Proximal,no,Blade prox
A1east,Blank,Blade,Optimal,Proximal,no,Blade prox
A1east,Blank,Blade,Optimal,Proximal,no,Blade prox
A1east,Blank,Blade,Optimal,Proximal,no,Blade prox
A1east,Blank,Blade,Optimal,Proximal,no,Blade prox
A1east,Blank,Blade,Optimal,Proximal,no,Blade prox
A1east,Blank,Blade,Optimal,Proximal,no,Blade prox
A1east,Blank,Blade,Optimal,Proximal,no,Blade prox
A1east,Blank,Blade,Optimal,Proximal,no,Blade prox
A1east,Blank,Blade,Optimal,Proximal,no,Blade prox
A1east,Blank,Blade,Optimal,Proximal,no,Blade prox
A1east,Blank,Blade,Optimal,Proximal,no,Blade prox
A1east,Blank,Blade,Optimal,Proximal,no,Blade prox
A1east,Blank,Blade,Optimal,Proximal,no,Blade prox
A1east,Blank,Blade,Optimal,Proximal,no,Blade prox
A1east,Blank,Blade,Optimal,Proximal,no,Blade prox
A1east,Blank,Blade,Optimal,Proximal,no,Blade prox
A1east,Blank,Blade,Optimal,Proximal,no,Blade prox
